mapping_id,source_table,source_column,source_value,source_value_description,destination_table,destination_column,concept_id,concept_description,map_on_presence,override_source_data,mapping_type,mapping_criteria_value,mapping_notes,mapping_logic
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,person_id,,,PERSON,person_id,,,false,,information,,,Add if person_id not already in from tbl_SRPatient or SUS_BRI_AE_010415_to_300619
,SUS_BRI_AE_010415_to_300619,person_id,,,PERSON,person_id,,,false,,information,,,Add if person_id not already in from tbl_SRPatient
,SUS_BRI_OP_010415_to_300619,person_id,,,PERSON,person_id,,,false,,information,,,Add if person_id not already in from tbl_SRPatient or SUS_BRI_AE_010415_to_300619 or src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2 or SUS_BRI_APC_010415_to_300619_P1
,SUS_BRI_APC_010415_to_300619_P1,person_id,,,PERSON,person_id,,,false,,information,,,Add if person_id not already in from tbl_SRPatient or SUS_BRI_AE_010415_to_300619 or src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Postcode_area_only,,,PERSON,location_id,,,false,,information,,,Select location_id where zip=Postcode_area_only
,SUS_BRI_AE_010415_to_300619,Postcode,,,PERSON,location_id,,,false,,information,,,Select location_id where zip=Postcode
,SUS_BRI_OP_010415_to_300619,Postcode,,,PERSON,location_id,,,false,,information,,,Select location_id where zip=Postcode
,SUS_BRI_APC_010415_to_300619_P1,Postcode,,,PERSON,location_id,,,false,,information,,,Select location_id where zip=Postcode
,,,,,PERSON,day_of_birth,,,false,,information,,,Select MM from YYYYMM format
,SUS_BRI_AE_010415_to_300619,Date_of_Birth,,,PERSON,year_of_birth,,,false,,information,,,Select YYYY from YYYYMM format
,tbl_SRPatient,DateBirth,,,PERSON,year_of_birth,,,false,,information,,,Select YYYY from YYYYMM format
,SUS_BRI_OP_010415_to_300619,Date_of_Birth,,,PERSON,year_of_birth,,,false,,information,,,Select YYYY from YYYYMM format
,SUS_BRI_APC_010415_to_300619_P1,Date_of_Birth,,,PERSON,year_of_birth,,,false,,information,,,Select YYYY from YYYYMM format
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Date_of_Birth_mm_yy,,,PERSON,year_of_birth,,,false,,information,,,Select YY from Month-YY format
,SUS_BRI_OP_010415_to_300619,Date_of_Birth,,,PERSON,month_of_birth,,,false,,information,,,Select MM from YYYYMM format
,SUS_BRI_AE_010415_to_300619,Date_of_Birth,,,PERSON,month_of_birth,,,false,,information,,,Select MM from YYYYMM format
,SUS_BRI_APC_010415_to_300619_P1,Date_of_Birth,,,PERSON,month_of_birth,,,false,,information,,,Select MM from YYYYMM format
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Date_of_Birth_mm_yy,,,PERSON,month_of_birth,,,false,,information,,,Select Month from Month-YY format
,tbl_SRPatient,DateBirth,,,PERSON,month_of_birth,,,false,,information,,,Select MM from YYYYMM format
,,,,,PERSON,ethnicity_concept_id,,,false,,information,,,0 - No matching concept
,tbl_srorganisation,FullPostcode,,,LOCATION,zip,,,false,,information,,,HouseName
,tbl_srorganisation,NameOfCounty,,,LOCATION,county,,,false,,information,,,HouseNumber
,tbl_srorganisation,NameOfRoad,,,LOCATION,address_1,,,false,,information,,,"CONCAT(HouseName, HouseNumber, NameOfRoad) (for non null values)"
,SUS_BRI_AE_010415_to_300619,,,,LOCATION,location_id,,,false,,information,,,Autogenerate. Create 1 record in location for each unique postcode (stored in UniquePostcodes tab)
,tbl_SRPatientAddressHistory,,,,LOCATION,location_id,,,false,,information,,,Autogenerate
,SUS_BRI_OP_010415_to_300619,,,,LOCATION,location_id,,,false,,information,,,Autogenerate. Create 1 record in location for each unique postcode (stored in UniquePostcodes tab)
,tbl_srorganisation,,,,LOCATION,location_id,,,false,,information,,,"Autogenerate Duplicate rows exist, only include one row per row identifier"
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,,,,LOCATION,location_id,,,false,,information,,,Autogenerate. Create 1 record in location for each unique postcode (stored in UniquePostcodes tab)
,SUS_BRI_APC_010415_to_300619_P1,,,,LOCATION,location_id,,,false,,information,,,Autogenerate. Create 1 record in location for each unique postcode (stored in UniquePostcodes tab)
,tbl_SRCode,iddoneby,,,PROVIDER,provider_id,,,false,,information,,,Insert all unique values (Except -1)
,tbl_srorganisation,RowIdentifier,,,CARE_SITE,place_of_service_concept_id,,,false,,information,,,9202 - Outpatient visit 
,tbl_srorganisation,RowIdentifier,,,CARE_SITE,place_of_service_concept_id,9202, Outpatient visit ,false,,CARE_SITE_place_of_service_concept_id,,,9202 - Outpatient visit 
,tbl_srorganisation,RowIdentifier,,,CARE_SITE,place_of_service_concept_id,9202, Outpatient visit ,false,,CARE_SITE_place_of_service_concept_id,,,9202 - Outpatient visit 
,,,,,MEASUREMENT,measurement_id,,,false,,information,,,Auto incrementing ID
,tbl_SRCode,numericunit,,,MEASUREMENT,unit_concept_id,,,false,,information,,,See lookup mappings
,tbl_SRCode,dateevent,,,MEASUREMENT,measurement_date,,,false,,information,,,Select date from datevent
,tbl_SRCode,dateevent,,,MEASUREMENT,measurement_time,,,false,,information,,,Select time from dateevent
,tbl_SRCode,snomedcode,,,MEASUREMENT,measurement_concept_id,,,false,,information,,,1022551000000104: 37393856 - Neutrophil count
